Thickness_m,Fiber_Curvature,PressureDrop_Pa,Capture_Efficiency
0.0,0.0,0.0,0.0
0.0,0.25,0.0,9.999999995999999e-07
0.0,0.5,0.0,1.9999999991999997e-06
0.0,0.75,0.0,2.9999999987999996e-06
0.0,1.0,0.0,3.9999999983999995e-06
0.0010204081632653062,0.0,9.232847308089402,0.8348201317335875
0.0010204081632653062,0.25,10.551524083125022,0.8348211317335871
0.0010204081632653062,0.5,12.30964259870837,0.8348221317335867
0.0010204081632653062,0.75,14.770783553344565,0.8348231317335862
0.0010204081632653062,1.0,18.462002953920475,0.8348241317335859
0.0020408163265306124,0.0,18.465694616178805,0.9727156111194907
0.0020408163265306124,0.25,21.103048166250044,0.9727166111194903
0.0020408163265306124,0.5,24.61928519741674,0.9727176111194898
0.0020408163265306124,0.75,29.54156710668913,0.9727186111194894
0.0020408163265306124,1.0,36.92400590784095,0.9727196111194891
0.0030612244897959186,0.0,27.69854192426821,0.99
0.0030612244897959186,0.25,31.65457224937507,0.99
0.0030612244897959186,0.5,36.928927796125116,0.99
0.0030612244897959186,0.75,44.3123506600337,0.99
0.0030612244897959186,1.0,55.38600886176143,0.99
0.004081632653061225,0.0,36.93138923235761,0.99
0.004081632653061225,0.25,42.20609633250009,0.99
0.004081632653061225,0.5,49.23857039483348,0.99
0.004081632653061225,0.75,59.08313421337826,0.99
0.004081632653061225,1.0,73.8480118156819,0.99
0.005102040816326531,0.0,46.164236540447014,0.99
0.005102040816326531,0.25,52.75762041562511,0.99
0.005102040816326531,0.5,61.548212993541846,0.99
0.005102040816326531,0.75,73.85391776672282,0.99
0.005102040816326531,1.0,92.31001476960238,0.99
0.006122448979591837,0.0,55.39708384853642,0.99
0.006122448979591837,0.25,63.30914449875014,0.99
0.006122448979591837,0.5,73.85785559225023,0.99
0.006122448979591837,0.75,88.6247013200674,0.99
0.006122448979591837,1.0,110.77201772352286,0.99
0.0071428571428571435,0.0,64.62993115662582,0.99
0.0071428571428571435,0.25,73.86066858187516,0.99
0.0071428571428571435,0.5,86.1674981909586,0.99
0.0071428571428571435,0.75,103.39548487341196,0.99
0.0071428571428571435,1.0,129.23402067744334,0.99
0.00816326530612245,0.0,73.86277846471522,0.99
0.00816326530612245,0.25,84.41219266500018,0.99
0.00816326530612245,0.5,98.47714078966696,0.99
0.00816326530612245,0.75,118.16626842675652,0.99
0.00816326530612245,1.0,147.6960236313638,0.99
0.009183673469387756,0.0,83.09562577280461,0.99
0.009183673469387756,0.25,94.9637167481252,0.99
0.009183673469387756,0.5,110.78678338837531,0.99
0.009183673469387756,0.75,132.93705198010107,0.99
0.009183673469387756,1.0,166.15802658528423,0.99
0.010204081632653062,0.0,92.32847308089403,0.99
0.010204081632653062,0.25,105.51524083125022,0.99
0.010204081632653062,0.5,123.09642598708369,0.99
0.010204081632653062,0.75,147.70783553344563,0.99
0.010204081632653062,1.0,184.62002953920475,0.99
0.011224489795918368,0.0,101.56132038898343,0.99
0.011224489795918368,0.25,116.06676491437526,0.99
0.011224489795918368,0.5,135.40606858579207,0.99
0.011224489795918368,0.75,162.47861908679022,0.99
0.011224489795918368,1.0,203.08203249312524,0.99
0.012244897959183675,0.0,110.79416769707284,0.99
0.012244897959183675,0.25,126.61828899750029,0.99
0.012244897959183675,0.5,147.71571118450046,0.99
0.012244897959183675,0.75,177.2494026401348,0.99
0.012244897959183675,1.0,221.54403544704573,0.99
0.01326530612244898,0.0,120.02701500516223,0.99
0.01326530612244898,0.25,137.1698130806253,0.99
0.01326530612244898,0.5,160.0253537832088,0.99
0.01326530612244898,0.75,192.02018619347933,0.99
0.01326530612244898,1.0,240.00603840096616,0.99
0.014285714285714287,0.0,129.25986231325163,0.99
0.014285714285714287,0.25,147.72133716375032,0.99
0.014285714285714287,0.5,172.3349963819172,0.99
0.014285714285714287,0.75,206.79096974682392,0.99
0.014285714285714287,1.0,258.4680413548867,0.99
0.015306122448979593,0.0,138.49270962134102,0.99
0.015306122448979593,0.25,158.27286124687532,0.99
0.015306122448979593,0.5,184.64463898062553,0.99
0.015306122448979593,0.75,221.56175330016845,0.99
0.015306122448979593,1.0,276.9300443088071,0.99
0.0163265306122449,0.0,147.72555692943044,0.99
0.0163265306122449,0.25,168.82438533000035,0.99
0.0163265306122449,0.5,196.95428157933392,0.99
0.0163265306122449,0.75,236.33253685351303,0.99
0.0163265306122449,1.0,295.3920472627276,0.99
0.017346938775510204,0.0,156.95840423751983,0.99
0.017346938775510204,0.25,179.37590941312538,0.99
0.017346938775510204,0.5,209.2639241780423,0.99
0.017346938775510204,0.75,251.1033204068576,0.99
0.017346938775510204,1.0,313.85405021664803,0.99
0.018367346938775512,0.0,166.19125154560922,0.99
0.018367346938775512,0.25,189.9274334962504,0.99
0.018367346938775512,0.5,221.57356677675062,0.99
0.018367346938775512,0.75,265.87410396020215,0.99
0.018367346938775512,1.0,332.31605317056847,0.99
0.01938775510204082,0.0,175.42409885369867,0.99
0.01938775510204082,0.25,200.47895757937548,0.99
0.01938775510204082,0.5,233.88320937545907,0.99
0.01938775510204082,0.75,280.6448875135468,0.99
0.01938775510204082,1.0,350.77805612448907,0.99
0.020408163265306124,0.0,184.65694616178806,0.99
0.020408163265306124,0.25,211.03048166250045,0.99
0.020408163265306124,0.5,246.19285197416738,0.99
