Thickness_m,Fiber_Orientation,Air_Velocity,Pressure_Drop_Pa,Capture_Efficiency
0.001,0.1,2.0,7.700489257604764,0.7863936493753797
0.001,0.1,2.5,9.625611572005955,0.7845621475438779
0.001,0.1,3.0,11.550733886407148,0.783321452754796
0.001,0.1,3.5,13.475856200808337,0.7824253954071257
0.001,0.18888888888888888,2.0,8.163572126587987,0.9591729463469881
0.001,0.18888888888888888,2.5,10.204465158234983,0.9557134428874846
0.001,0.18888888888888888,3.0,12.245358189881982,0.9533699082858855
0.001,0.18888888888888888,3.5,14.286251221528977,0.951677355518064
0.001,0.2777777777777778,2.0,8.685915380308725,0.98
0.001,0.2777777777777778,2.5,10.857394225385907,0.98
0.001,0.2777777777777778,3.0,13.028873070463089,0.98
0.001,0.2777777777777778,3.5,15.200351915540267,0.98
0.001,0.3666666666666667,2.0,9.279671879005383,0.98
0.001,0.3666666666666667,2.5,11.599589848756727,0.98
0.001,0.3666666666666667,3.0,13.919507818508073,0.98
0.001,0.3666666666666667,3.5,16.239425788259418,0.98
0.001,0.4555555555555556,2.0,9.960561313399984,0.98
0.001,0.4555555555555556,2.5,12.450701641749978,0.98
0.001,0.4555555555555556,3.0,14.940841970099976,0.98
0.001,0.4555555555555556,3.5,17.43098229844997,0.98
0.001,0.5444444444444445,2.0,10.7492823913689,0.98
0.001,0.5444444444444445,2.5,13.436602989211126,0.98
0.001,0.5444444444444445,3.0,16.12392358705335,0.98
0.001,0.5444444444444445,3.5,18.811244184895575,0.98
0.001,0.6333333333333333,2.0,11.673653660109641,0.98
0.001,0.6333333333333333,2.5,14.59206707513705,0.98
0.001,0.6333333333333333,3.0,17.51048049016446,0.98
0.001,0.6333333333333333,3.5,20.42889390519187,0.98
0.001,0.7222222222222222,2.0,12.771962836645889,0.98
0.001,0.7222222222222222,2.5,15.964953545807361,0.98
0.001,0.7222222222222222,3.0,19.157944254968836,0.98
0.001,0.7222222222222222,3.5,22.350934964130303,0.98
0.001,0.8111111111111111,2.0,14.098403219524858,0.98
0.001,0.8111111111111111,2.5,17.62300402440607,0.98
0.001,0.8111111111111111,3.0,21.14760482928729,0.98
0.001,0.8111111111111111,3.5,24.6722056341685,0.98
0.001,0.9,2.0,15.732290308561497,0.98
0.001,0.9,2.5,19.66536288570187,0.98
0.001,0.9,3.0,23.598435462842247,0.98
0.001,0.9,3.5,27.531508039982615,0.98
0.001494949494949495,0.1,2.0,11.511842526520255,0.9033230737942051
0.001494949494949495,0.1,2.5,14.389803158150318,0.9014915719627032
