Thickness_cm,Fiber_Curvature,Pressure_Drop_Pa,Efficiency_%,Score
0.198989898989899,0.3666666666666667,23.906713541839792,98.0059966358592,98.0059966358592
0.24848484848484848,0.3666666666666667,29.004372709707127,98.00598238150266,98.00598238150266
0.44646464646464645,0.2777777777777778,47.39097364511758,98.00587699408779,98.00587699408779
0.39696969696969703,0.2777777777777778,42.161936883244834,98.0058351558208,98.0058351558208
0.297979797979798,0.3666666666666667,34.22954531425654,98.00570154938112,98.00570154938112
0.1494949494949495,0.3666666666666667,18.9497116392036,98.00569882059291,98.00569882059291
0.1,0.4555555555555556,14.630795836048605,98.0056543129993,98.0056543129993
0.3474747474747475,0.2777777777777778,37.02390509920417,98.00540934495237,98.00540934495237
0.1494949494949495,0.4555555555555556,19.789575563797598,98.00527589152453,98.00527589152453
0.3474747474747475,0.3666666666666667,39.56941224934263,98.00519863171805,98.00519863171805
0.495959595959596,0.18888888888888888,48.15329606660674,98.00511668345649,98.00511668345649
0.1,0.3666666666666667,14.14677162793214,98.00504285542488,98.00504285542488
0.297979797979798,0.7222222222222222,47.06482674439252,98.00495202314684,98.00495202314684
0.198989898989899,0.4555555555555556,25.101446665660774,98.00475590702031,98.00475590702031
0.24848484848484848,0.7222222222222222,39.512293944703174,98.00469650328098,98.00469650328098
0.297979797979798,0.2777777777777778,31.988922222993608,98.00453968965755,98.00453968965755
0.39696969696969703,0.3666666666666667,45.01153894191748,98.00451673136922,98.00451673136922
0.24848484848484848,0.8111111111111111,42.17406920162529,98.00450066429342,98.00450066429342
0.198989898989899,0.7222222222222222,32.080940814868484,98.00441729062386,98.00441729062386
0.24848484848484848,0.4555555555555556,30.552897248954537,98.00412494382999,98.00412494382999
0.1494949494949495,0.7222222222222222,24.78594034766718,98.00411111365538,98.00411111365538
0.198989898989899,0.8111111111111111,33.902253352354364,98.00401060095074,98.00401060095074
0.1,0.7222222222222222,17.64297542396389,98.00377419126015,98.00377419126015
0.1,0.5444444444444445,15.726748115324142,98.00367225910952,98.00367225910952
0.44646464646464645,0.18888888888888888,43.17636715185313,98.00363187018233,98.00363187018233
0.1494949494949495,0.8111111111111111,25.78210579894352,98.00346750530548,98.00346750530548
0.297979797979798,0.4555555555555556,36.130734394752494,98.00341232226867,98.00341232226867
0.1494949494949495,0.5444444444444445,21.381512436696482,98.00326042225997,98.00326042225997
0.24848484848484848,0.2777777777777778,27.069428626898286,98.00316547883884,98.00316547883884
0.1,0.6333333333333333,17.14195073242729,98.0030229005045,98.0030229005045
0.1494949494949495,0.6333333333333333,23.472980006874252,98.00297789999462,98.00297789999462
0.198989898989899,0.6333333333333333,29.95164261167048,98.00291882851417,98.00291882851417
0.1,0.8111111111111111,17.830347420217436,98.00286922456611,98.00286922456611
0.24848484848484848,0.6333333333333333,36.56332597912302,98.00285408814301,98.00285408814301
0.198989898989899,0.5444444444444445,27.186332286569723,98.00281121962706,98.00281121962706
0.297979797979798,0.6333333333333333,43.2938862922112,98.00279113017376,98.00279113017376
0.3474747474747475,0.4555555555555556,41.82214789120383,98.0026458500935,98.0026458500935
0.24848484848484848,0.5444444444444445,33.127345206869336,98.00234198506848,98.00234198506848
0.297979797979798,0.5444444444444445,39.19108303263738,98.00186875837154,98.00186875837154
0.39696969696969703,0.4555555555555556,47.61476930086957,98.00185159661537,98.00185159661537
0.39696969696969703,0.18888888888888888,38.28351879013667,98.00150356110161,98.00150356110161
0.3474747474747475,0.5444444444444445,45.36453621511015,98.0014061634954,98.0014061634954
0.198989898989899,0.2777777777777778,22.278205053417082,98.0012257074033,98.0012257074033
0.1494949494949495,0.2777777777777778,17.62831243845102,97.99865964127503,97.99865964127503
0.3474747474747475,0.18888888888888888,33.48619984746534,97.99865674285245,97.99865674285245
0.24848484848484848,0.9,48.409976487280915,97.99817252399777,97.99817252399777
0.198989898989899,0.9,39.485312935766046,97.99756459043368,97.99756459043368
0.495959595959596,0.1,45.391131939810975,97.9974971663754,97.9974971663754
0.1494949494949495,0.9,30.739100297234188,97.99688789544727,97.99688789544727
0.1,0.9,22.188554875990235,97.99614050046229,97.99614050046229
0.1,0.2777777777777778,13.133028035416316,97.99540739644456,97.99540739644456
0.297979797979798,0.18888888888888888,28.796257477075187,97.99501648394889,97.99501648394889
0.44646464646464645,0.1,40.8352603223459,97.99317515381931,97.99317515381931
0.24848484848484848,0.18888888888888888,24.22588553536616,97.9905086222031,97.9905086222031
0.39696969696969703,0.1,36.37323297537307,97.98786364836394,97.98786364836394
0.198989898989899,0.18888888888888888,19.78756893875044,97.98506046715573,97.98506046715573
0.3474747474747475,0.1,32.01603439179502,97.98147849706784,97.98147849706784
0.1494949494949495,0.18888888888888888,15.494024322980806,97.97860151052777,97.97860151052777
0.297979797979798,0.1,27.774974622810078,97.97393750452426,97.97393750452426
0.1,0.18888888888888888,11.35813740381883,97.97106413752022,97.97106413752022
0.24848484848484848,0.1,23.661639244823903,97.96516122780149,97.96516122780149
0.198989898989899,0.1,19.687835805735915,97.95507377202028,97.95507377202028
0.1494949494949495,0.1,15.865537099119706,97.9436035786166,97.9436035786166
0.1,0.1,12.206821647458696,97.93068419830824,97.93068419830824
