Thickness_m,Fiber_Curvature,Air_Velocity_ms,Pressure_Drop_Pa,Efficiency_Percentage,Safety_Status,Pleated_Pressure_Pa,score_eff,score_thin,score_safety,Hero_Score
0.005,0.1,2.5,15.24856559726453,97.99780890822956,PASS,5.0828551990881765,0.3304121757234315,0.999999968750001,0.9999999999712043,0.7768040481482122
0.005,0.2,2.5,16.377587537337064,98.00556775285862,PASS,5.459195845779021,0.8718782682652901,0.999999968750001,0.98916293753122,0.9536803915155038
0.005,0.3,2.5,18.04445403236403,98.00498800427049,PASS,6.01481801078801,0.8314193832530278,0.999999968750001,0.9731633048893915,0.9348608856308068
0.005,0.4,2.5,19.265308514773466,98.00157162450876,PASS,6.421769504924488,0.5930006638867873,0.999999968750001,0.9614447759694347,0.851481802868741
0.005,0.5,2.5,20.73197309746277,97.99983447356588,PASS,6.910657699154257,0.47177020005342163,0.999999968750001,0.9473668071568037,0.8063789919867421
0.005,0.6,2.5,23.0115819165942,98.00152176909484,PASS,7.6705273055314,0.5895214066703032,0.999999968750001,0.925485688433744,0.8383356879513494
0.005,0.7000000000000001,2.5,25.677061006151877,98.00512286964069,PASS,8.55902033538396,0.8408312259322341,0.999999968750001,0.8999007442437728,0.913577312975336
0.005,0.8,2.5,28.30886972963158,98.00646172908029,PASS,9.436289909877194,0.9342661410363097,0.999999968750001,0.8746389893972614,0.9363016997278574
0.005,0.9,2.5,31.94300437452776,98.00027489723855,PASS,10.647668124842587,0.502506024329492,0.999999968750001,0.8397562801564474,0.7807540910786468
0.006,0.1,2.5,18.40139722928592,98.003737006619,PASS,6.13379907642864,0.744116074253971,0.9687499697265635,0.9697371396615294,0.8942010612140212
0.006,0.2,2.5,19.83322275411992,98.00637733658368,PASS,6.6110742513733065,0.9283766462003752,0.9687499697265635,0.9559935780308381,0.9510400646525922
0.006,0.3,2.5,21.73948749962244,98.00329164148192,PASS,7.24649583320748,0.7130354002542666,0.9687499697265635,0.9376960504621318,0.8731604734809872
0.006,0.4,2.5,23.194844313126097,97.99968739933776,PASS,7.731614771042032,0.46150633843184785,0.9687499697265635,0.9237266207277705,0.7846609762953939
0.006,0.5,2.5,24.95774267996707,97.99885486625595,PASS,8.319247559989023,0.4034063949134264,0.9687499697265635,0.9068052138013696,0.7596538594804532
0.006,0.6,2.5,27.65908405229933,98.0014108332709,PASS,9.219694684099776,0.5817795340096638,0.9687499697265635,0.8808760408733423,0.8104685148698566
0.006,0.7000000000000001,2.5,30.90444795199093,98.0054109393443,PASS,10.301482650663644,0.8609347315768276,0.9687499697265635,0.8497249976800018,0.8931365663277977
0.006,0.8,2.5,34.22329792001486,98.0068310110852,PASS,11.407765973338286,0.9600372053899041,0.9687499697265635,0.8178685889993127,0.9155519213719266
